NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B86,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.00,101.53,0.0725,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B88,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.00,101.53,0.0725,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B90,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.00,101.53,0.0725,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B92,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.93,246.42,0.0898,0.0,89.0,1.075,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B94,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.93,246.42,0.0898,0.0,89.0,1.075,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B96,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.93,246.42,0.0898,0.0,89.0,1.075,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B95,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.36,0.961,0.286,0.0,89.0,1.075,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B93,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.36,0.961,0.286,0.0,89.0,1.075,Normal,53.44,2.6,57.67,92.66516386336049,4.508409918501821,61.59,0.0,0.0,4.69,0.02
B91,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.36,0.961,0.286,0.0,89.0,1.075,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B89,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.00,0.600,,0.6,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B87,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.00,0.600,,0.6,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B116,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.58,452.74,0.0898,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
